Title,Subtitle,Author,Publisher,Publication Year,Price
Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,O'Reilly Media,2017,"14,34 €"
Python for Data Analysis,"Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,O'Reilly Media,2017,"17,97 €"
Programming Rust,,Jim Blandy,O'Reilly Media,2021,"21,43 €"
Effective TypeScript,62 Specific Ways to Improve Your TypeScript,Dan Vanderkam,O'Reilly Media,2019,"14,34 €"
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,O'Reilly Media,2019,"25,06 €"
Data Science from Scratch,First Principles with Python,Joel Grus,O'Reilly Media,2019,"21,43 €"
Building Microservices,,Sam Newman,O'Reilly Media,2021,"21,43 €"
Python for Excel,,Felix Zumstein,O'Reilly Media,2021,"21,43 €"
Head First C#,,Andrew Stellman,O'Reilly Media,2020,"19,70 €"
Monolith to Microservices,Evolutionary Patterns to Transform Your Monolith,Sam Newman,O'Reilly Media,2019,"17,97 €"
